regnr,model_year,fuel,body_type,price_sek,odometer_km,price_per_1000km,url
FBW598,2015,Bensin,Halvkombi,94900,79500,1193.71,https://www.blocket.se/annons/1401744750
CRW225,2017,Bensin,Halvkombi,110000,132710,828.87,https://www.blocket.se/annons/1401824106
UWL943,2017,Diesel,Kombi,180000,200780,896.5,https://www.blocket.se/annons/1401811924
BHJ439,2019,Diesel,Sedan,319000,105670,3018.83,https://www.blocket.se/annons/1401822378
DAK25L,2021,El,SUV,285000,117000,2435.9,https://www.blocket.se/annons/1401825306
HDH520,2015,Miljöbränsle/Hybrid,Halvkombi,159000,82870,1918.67,https://www.blocket.se/annons/1401723291
JRS165,2015,Bensin,Halvkombi,278000,119850,2319.57,https://www.blocket.se/annons/1401825100
WJG422,2018,Diesel,Kombi,235000,135000,1740.74,https://www.blocket.se/annons/1401825463
MGA823,2018,Diesel,Skåpbil,219000,192240,1139.2,https://www.blocket.se/annons/1401820499
OBM365,2017,Diesel,Halvkombi,140000,90000,1555.56,https://www.blocket.se/annons/1401816859
EPH107,2015,Diesel,Skåpbil,120000,174430,687.96,https://www.blocket.se/annons/1401818607
TPW160,2015,El,Sedan,195900,140270,1396.59,https://www.blocket.se/annons/1401736190
BCB404,2018,Diesel,Transportchassi,240000,130000,1846.15,https://www.blocket.se/annons/1401679099
JJE70X,2019,Bensin,SUV,335900,116000,2895.69,https://www.blocket.se/annons/1401818984
OMJ630,2017,Bensin,Halvkombi,139000,139000,1000.0,https://www.blocket.se/annons/1401814455
YSG507,2016,Diesel,Kombi,95000,450000,211.11,https://www.blocket.se/annons/1401825240
WHE80K,2019,Diesel,Skåpbil,99900,216100,462.29,https://www.blocket.se/annons/1401820524
YEK651,2016,Diesel,Kombi,135000,222230,607.48,https://www.blocket.se/annons/1401826583
NUO042,2018,Diesel,Sedan,399000,181700,2195.93,https://www.blocket.se/annons/1401790636
WAD80Y,2021,Bensin,Sedan,697000,42900,16247.09,https://www.blocket.se/annons/1401721767
YSG670,2019,Bensin,Sedan,795000,73000,10890.41,https://www.blocket.se/annons/1401772400
YSA574,2019,Diesel,Kombi,425000,125340,3390.78,https://www.blocket.se/annons/1401815794
